Company Name	Website	Do	What	Market (For)	What is local?	Maker connection	Size	Address	City	State	Zip	Lat	Long	Notes	Wikipedia Page	Twitter	Facebook	YouTube	Instagram	Flikr	LinkedIn	TikTok	Pintrest	Phone
Teledyne Technologies	http://www.teledyne.com/	Create	Rockets, Weapons	Military, Government	HQ	Local tech	Large	1049 Camino Dos Rios	Thousand Oaks	CA	91360	34.1932879	-118.9076282	Local HQ	https://en.wikipedia.org/wiki/Teledyne_Technologies	https://twitter.com/teledynemarine ??	-	-	-	-	https://www.linkedin.com/company/teledyne-technologies-incorporated	-		(805) 373-4545
The Game Ogre	http://www.thegameogre.com/	Retail	Games, Comics	Geeks	HQ	Games	Medium	1145 Lindero Canyon Rd., Unit D4	Westlake Village	CA	91362	34.1850477	-118.7882413	Retail store selling Games (also has meetings?)	-	https://twitter.com/gameogre	https://www.facebook.com/TheGameOgre/	-	https://www.instagram.com/thegameogre/	-	-	-		818-852-7270
The Makery	https://themakerywa.com/	Retail + Teaching	Crafts	Makers	HQ	Kids Crafts	Medium	1111 Rancho Conejo Blvd. #304	Thousand Oaks	CA	91320	34.194029	-118.923727	Teaching kids craft skills	-	-	https://www.facebook.com/shopthemakery/	-	https://www.instagram.com/themakerydiy/?hl=hr	-	-	-		805-376-0230
Ventura Biocenter	https://venturabiocenter.com/	Incubate + Coworking	BioTech	Scientests	HQ	Bio Startup	Medium	1176 Tourmaline Drive	Thousand Oaks	CA	91320	34.19388424	-118.9313703	Office space for startups	-	https://twitter.com/vbiocenter	-	-	-	-	https://www.linkedin.com/company/ventura-biocenter	-		805-480-9900
Wild Birds Unlimited	https://thousandoaks.wbu.com/	Retail	Tools	Birdwatchers	Branch	Local?	Large	720 N. Moorpark Road	Thousand Oaks	CA	91360	34.1874559	-118.8757604		https://en.wikipedia.org/wiki/Wild_Birds_Unlimited	https://twitter.com/wbu_inc	https://www.facebook.com/wildbirdsunlimited/	https://www.youtube.com/user/WildBirdsUnlimited	https://www.instagram.com/wildbirdsunlimited/?hl=hr	https://www.flickr.com/photos/wildbirdsunlimited/	https://www.linkedin.com/company/wild-birds-unlimited-inc.			(317) 571-7100
Yoctapuse	https://www.yoctopuce.com/	Online Retail	Electronics	Consumers	remote	Electronic gadgets / USB Dongles	Medium							Electronic gadgets / USB Dongles	-	https://twitter.com/yoctopuce	-	https://www.youtube.com/c/Yoctopuce/featured	-	-	-	-		41 22 756 59 14
Zanders Game House	https://www.zandersgamehouse.com/	Retail	Games, Comics	Geeks	HQ	Games	Medium	2270 Ventura Blvd	Camarillo	CA		34.2157616	-119.0698541	Retail store selling games, Game nites	-	-	https://www.facebook.com/Zandersgamehouse/	-	https://www.instagram.com/zandersgamehouse/	-	-	-		(805) 383-9983
Compound Contemporary	https://compound-contemporary.com/	Art House	Art	Consumers	HQ	Art	small	1125 Thousand Oaks Blvd	Thousand Oaks	CA	91362	34.179128	-118.85918	Art space					https://www.instagram.com/compoundcontemporary/					
Hatch Spaces	https://hatchspaces.com/spaces/		LifeSciences Manufactuering	Entrapenures	Branch	Biotech	small	2495 Teller Road	Thousand Oaks	CA	91320	34.1905325	-118.9313075	Lifesciences lab facilities for biotech startups		https://twitter.com/HATCHspaces	https://www.facebook.com/HATCHspaces		https://www.instagram.com/hatchspaces/		https://www.linkedin.com/company/hatchspaces			
Hatch Spaces	https://hatchspaces.com/our-portfolio/#oak		LifeSciences Coworking	Entrapenures	Branch	Biotech	small	1525 & 1535 Rancho Conejo Blvd	Thousand Oaks	CA		34.2018805	-118.9280319	Lifesciences lab facilities for biotech startups		https://twitter.com/HATCHspaces	https://www.facebook.com/HATCHspaces		https://www.instagram.com/hatchspaces/		https://www.linkedin.com/company/hatchspaces			
DeelTech	https://deeltech.com/	Consulting	3d printing	Consumers	HQ	Maker	small																	
JLC PCB	https://jlcpcb.com/	Manufacture + Consulting	Custom PCB	Makers	remote	Make PCB Boards	medium									https://twitter.com/jlcpcb	https://www.facebook.com/jlcpcb	https://www.youtube.com/JLCPCB	https://www.instagram.com/jlcpcb		https://www.linkedin.com/company/jlcpcb			
Minimus	https://www.minimus.biz/	Online Retail	Everything	Consumers, B2B	HQ	Local	medium	1260 Rancho Conejo Blvd	Newbury Park	CA	91320	34.1964786	-118.9229139	Sells all kinds of products, creates products for YouTubers, creates baskets of products, etc.		https://twitter.com/minimusbiz	https://www.facebook.com/Minimus.biz	https://www.youtube.com/channel/UCel9EYLAfxDmY-2EIsngQSw	https://www.instagram.com/minimusbiz/				http://www.pinterest.com/minimusdotbiz/	
Ember Technologies	https://ember.com/	Create + Manufacture	Mugs	Consumers	HQ	Local tech	medium	4607 Lakeview Canyon Rd #500	Westlake Village	CA	91361	34.1488464	-118.8224327	Connected Mug that keeps your coffee warm										
VinoTron	https://vinotron.io/	Create	Wine Decanter	Consumers, B2B	HQ	Local tech	small	N Wood Ranch Parkway and Lake Part Dr N	Simi Valley	CA	93065	34.2477851	118.8165909	Autonomus Wine Show Decanter										
DW Drums	https://www.dwdrums.com/	Create + Manufacture	Drums	Consumers	HQ	Music	small	3450 Lunar Court	Oxnard	CA	93030	34.2102836	-119.1276453	makes Drums			https://www.facebook.com/dwdrums	https://www.youtube.com/c/dwdrums	https://www.instagram.com/dwdrums/					800-45-DRUMS (800-453-7867)
Pololu	https://www.pololu.com/	Online Retail	Electronics	Consumers	HQ	Maker parts	small	920 Pilot Rd	Las Vegas	NV	89119	36.0655591	-115.1458036	Maker electronics		https://www.twitter.com/pololu	https://www.facebook.com/pages/Pololu-Robotics-and-Electronics/101075913291858	https://www.youtube.com/channel/UCHsjCiny7B9ytufd-RvkT7w						
The Rock Store	http://rock-store.com/	Retail	Food?	Consumers	HQ	Old Fashioned	small	30354 Mulholland Highway	Cornell	CA														
Marty's Hobbies	http://www.martyshobbies.com/	Hobby shop	Hobbies	Consumers	HQ	Hobbies	small	270 Conejo Ridge Ave	Thousand Oaks	CA	91361	34.1699044	-118.8486461	RC Planes/boats/trucks, Rockets, trains, etc										
Reynolds Advanced Materials	https://www.reynoldsam.com/location/la/	Interesting Products	Plastics/Rubber	Consumers, B2B	Branch	Materials	medium	2040 N Lincoln St	Burbank	CA	91504	34.1934932	-118.3380909	supplier of mold rubber and casting resins		https://twitter.com/RAMaterials	https://www.facebook.com/ReynoldsAM	https://www.youtube.com/user/ReynoldsAdvanced	https://www.instagram.com/ramaterials/					(800) 348-4349
Conejo Valley Makerspace	https://cvmake.org/	Makerspace	Clubhouse	DIY	HQ	Makerspace	small	31332 Via Colinas #108	Westlake Village	CA	91362	34.1547394	-118.8121208	Makerspace, makers of this map! Come hang out at our weekly meeting.										
Nova Logic	http://www.novalogic.com/ 	Game publisher	Game	Consumers	Branch	Games	small		Calabasas	CA	91301			Owned by EA										
LeXT Robo Academy	http://lextroboacademy.com/	Kids STEM	Robots	Parents	HQ	Robots	small							Local robotics for kids										
Bulldog Liquidators	https://bulldogliquidators.com/	Auctions	Electronics	Consumers	Branch	Parts	small	1998 Surveyor Ave	Simi Valley	CA	93063	34.2711391	-118.7206497	Often have interesting parts										
																								
	https://silentlegends.com/ 		westlake? gaming company																					
Ukaton	https://www.linkedin.com/company/ukaton/about/				HQ	Startup	Small		Camarillo	CA				Design/make SmartShoe Insoles?	-	https://twitter.com/concretescifi	https://www.facebook.com/concretescifi/	https://www.youtube.com/channel/UCL-Ko-jT7ORIfxBuPw_vkJQ	https://www.instagram.com/concretescifi/channel/	-	https://www.linkedin.com/company/ukaton	-		(805) 312-4900
Venstar	https://venstar.com/		(IOT, thermostats)?																					
(?) Cat And Raven Collective	https://catandravencollective.com/	Art Space	Art	Consumers	HQ	Art	small																	
